scaffold,start,end,length,method,type,type_start,type_end,overlap,overlap/length
ptg016731l,5286,5637,351,RepeatMasker,LTR,4944,5606,320,0.91
ptg016741l,129012,129301,289,RepeatMasker,LTR,128960,129503,289,1.00
ptg016741l,1236527,1236826,299,RepeatMasker,LTR,1236475,1236991,299,1.00
ptg016751l,882387,882700,313,RepeatMasker,LTR,882680,882942,21,0.07
ptg016753l,771761,772041,280,RepeatMasker,LTR,771735,772307,280,1.00
ptg016753l,771761,772041,280,RepeatMasker,LTR,771741,772133,280,1.00
ptg016767l,1835212,1835493,281,RepeatMasker,LTR,1835179,1835882,281,1.00
ptg016769l,1170634,1170963,329,RepeatMasker,LTR,1170644,1171097,320,0.97
ptg016770l,518236,518556,320,RepeatMasker,LTR,515705,518286,50,0.16
ptg016795l,746927,747244,317,RepeatMasker,LTR,746567,747040,113,0.36
ptg016814l,719866,720146,280,RepeatMasker,LTR,719230,720538,280,1.00
ptg016816l,557305,557602,297,RepeatMasker,LTR,553992,558114,297,1.00
ptg016824l,895407,895700,293,RepeatMasker,LTR,895342,895521,114,0.39
ptg016831l,29737,30017,280,RepeatMasker,LTR,29101,31004,280,1.00
ptg016831l,53412,53693,281,RepeatMasker,LTR,52629,54669,281,1.00
ptg016863l,65127,65408,281,RepeatMasker,LTR,64476,65737,281,1.00
ptg016870l,1472741,1473022,281,RepeatMasker,LTR,1472113,1473840,281,1.00
ptg016870l,1665390,1665709,319,RepeatMasker,LTR,1659203,1665440,50,0.16
ptg016871l,187455,187735,280,RepeatMasker,LTR,186819,188790,280,1.00
ptg016874l,507887,508199,312,RepeatMasker,LTR,507717,507993,106,0.34
ptg016876l,136903,137184,281,RepeatMasker,LTR,136254,137566,281,1.00
ptg016876l,197537,197818,281,RepeatMasker,LTR,197504,198228,281,1.00
ptg016879l,54684,55004,320,RepeatMasker,LTR,53237,54734,50,0.16
ptg016890l,2019542,2019862,320,RepeatMasker,LTR,2019344,2019613,71,0.22
ptg016895l,535777,536056,279,RepeatMasker,LTR,535641,535912,135,0.48
ptg016898l,135797,136045,248,RepeatMasker,LTR,130740,136467,248,1.00
ptg016901l,1336904,1337185,281,RepeatMasker,LTR,1336285,1337601,281,1.00
ptg016904l,335452,335741,289,RepeatMasker,LTR,334590,335874,289,1.00
ptg016905l,1142955,1143253,298,RepeatMasker,LTR,1142903,1143462,298,1.00
ptg016905l,1570022,1570351,329,RepeatMasker,LTR,1569218,1570537,329,1.00
ptg016905l,1920989,1921288,299,RepeatMasker,LTR,1920937,1921485,299,1.00
ptg016908l,288894,289191,297,RepeatMasker,LTR,288092,289555,297,1.00
ptg016908l,306799,307079,280,RepeatMasker,LTR,305997,307499,280,1.00
ptg016915l,96262,96552,290,RepeatMasker,LTR,95790,97091,290,1.00
ptg016923l,672444,672725,281,RepeatMasker,LTR,671799,673101,281,1.00
ptg016930l,698438,698718,280,RepeatMasker,LTR,697634,699100,280,1.00
ptg016930l,943488,943736,248,RepeatMasker,LTR,938423,947946,248,1.00
ptg016934l,1970240,1970526,286,RepeatMasker,LTR,1969379,1972101,286,1.00
ptg016938l,719817,720123,306,RepeatMasker,LTR,718970,719895,78,0.25
ptg016941l,305111,305396,285,RepeatMasker,LTR,304482,306499,285,1.00
ptg016942l,700176,700471,295,RepeatMasker,LTR,700124,700551,295,1.00
ptg016943l,311159,311439,280,RepeatMasker,LTR,310522,311821,280,1.00
ptg016944l,171352,171650,298,RepeatMasker,LTR,171339,172781,298,1.00
ptg016946l,80163,80471,308,RepeatMasker,LTR,80062,82416,308,1.00
ptg016949l,108172,108452,280,RepeatMasker,LTR,107535,109498,280,1.00
ptg016952l,834523,834803,280,RepeatMasker,LTR,833878,835185,280,1.00
ptg016970l,444909,445190,281,RepeatMasker,LTR,444263,445504,281,1.00
ptg016992l,2194974,2195273,299,RepeatMasker,LTR,2194922,2195451,299,1.00
ptg017000l,298361,298641,280,RepeatMasker,LTR,298348,299770,280,1.00
ptg017003l,127754,128044,290,RepeatMasker,LTR,127702,128252,290,1.00
ptg017014l,269684,269969,285,RepeatMasker,LTR,269396,270612,285,1.00
ptg017017l,252508,252807,299,RepeatMasker,LTR,252456,253001,299,1.00
ptg017017l,485850,486177,327,RepeatMasker,LTR,485450,486197,327,1.00
ptg017021l,936623,936943,320,RepeatMasker,LTR,933526,936672,49,0.15
ptg017033l,109121,109446,325,RepeatMasker,LTR,109163,109400,238,0.73
ptg017045l,903742,904041,299,RepeatMasker,LTR,903695,904219,299,1.00
ptg017046l,136888,137196,308,RepeatMasker,LTR,136917,137035,119,0.39
ptg017046l,136888,137196,308,RepeatMasker,LTR,137038,137668,159,0.52
ptg017055l,325265,325545,280,RepeatMasker,LTR,324630,326676,280,1.00
ptg017064l,1006301,1006582,281,RepeatMasker,LTR,1005664,1007641,281,1.00
ptg017073l,1515983,1516274,291,RepeatMasker,LTR,1516220,1516281,55,0.19
ptg017073l,1515983,1516274,291,RepeatMasker,LTR,1516228,1517156,47,0.16
ptg017079l,1151253,1151536,283,RepeatMasker,LTR,1150595,1151954,283,1.00
ptg017082l,288824,289128,304,RepeatMasker,LTR,285832,288858,34,0.11
ptg017092l,145179,145472,293,RepeatMasker,LTR,145157,145669,293,1.00
ptg017092l,202167,202464,297,RepeatMasker,LTR,202116,202643,297,1.00
ptg017102l,19267,19564,297,RepeatMasker,LTR,19233,19587,297,1.00
ptg017102l,146613,146908,295,RepeatMasker,LTR,146561,147084,295,1.00
ptg017102l,305492,305789,297,RepeatMasker,LTR,305440,305966,297,1.00
ptg017102l,310782,311077,295,RepeatMasker,LTR,310730,311097,295,1.00
ptg017102l,506313,506633,320,RepeatMasker,LTR,505396,507869,320,1.00
ptg017102l,749747,750046,299,RepeatMasker,LTR,749695,750240,299,1.00
ptg017102l,1252920,1253235,315,RepeatMasker,LTR,1253047,1253482,189,0.60
ptg017102l,1252920,1253235,315,RepeatMasker,LTR,1253098,1253482,138,0.44
ptg017102l,1428624,1428917,293,RepeatMasker,LTR,1428572,1429082,293,1.00
ptg017106l,72345,72638,293,RepeatMasker,LTR,72036,73922,293,1.00
ptg017115l,219824,220113,289,RepeatMasker,LTR,219811,220640,289,1.00
ptg017134l,217213,217510,297,RepeatMasker,LTR,217167,217508,295,0.99
ptg017135l,317169,317450,281,RepeatMasker,LTR,316376,318511,281,1.00
ptg017150l,83464,83745,281,RepeatMasker,LTR,83431,84876,281,1.00
ptg017150l,90693,90974,281,RepeatMasker,LTR,90660,92031,281,1.00
ptg017152l,327812,328147,335,RepeatMasker,LTR,323074,329213,335,1.00
ptg017164l,3812,4111,299,RepeatMasker,LTR,3760,4306,299,1.00
ptg017164l,1856828,1857125,297,RepeatMasker,LTR,1856776,1857287,297,1.00
ptg017184l,468367,468615,248,RepeatMasker,LTR,463307,472819,248,1.00
ptg017187l,441265,441563,298,RepeatMasker,LTR,440484,442500,298,1.00
ptg017187l,441265,441563,298,RepeatMasker,LTR,440505,442601,298,1.00
ptg017196l,263059,263368,309,RepeatMasker,LTR,263100,263719,269,0.87
ptg017200l,247453,247775,322,RepeatMasker,LTR,247724,251346,52,0.16
ptg017221l,1312132,1312425,293,RepeatMasker,LTR,1312080,1312602,293,1.00
ptg017230l,927867,928152,285,RepeatMasker,LTR,926902,927902,35,0.12
ptg017233l,349848,350129,281,RepeatMasker,LTR,349055,350524,281,1.00
ptg017233l,429931,430211,280,RepeatMasker,LTR,429918,431260,280,1.00
ptg017234l,1334162,1334465,303,RepeatMasker,LTR,1334043,1335314,303,1.00
ptg017258l,1255539,1255819,280,RepeatMasker,LTR,1254737,1256209,280,1.00
ptg017267l,1621403,1621706,303,RepeatMasker,LTR,1620149,1621606,203,0.67
ptg017270l,1219020,1219310,290,RepeatMasker,LTR,1218968,1219488,290,1.00
ptg017272l,447753,448033,280,RepeatMasker,LTR,447741,448426,280,1.00
ptg017283l,415414,415730,316,RepeatMasker,LTR,412395,415577,163,0.52
ptg017283l,415414,415730,316,RepeatMasker,LTR,415571,421749,160,0.51
ptg017285l,1096177,1096457,280,RepeatMasker,LTR,1096165,1096839,280,1.00
ptg017285l,1103285,1103567,282,RepeatMasker,LTR,1102483,1103972,282,1.00
ptg017300l,2614233,2614513,280,RepeatMasker,LTR,2613450,2614777,280,1.00
ptg017300l,2745666,2745936,270,RepeatMasker,LTR,2744848,2745694,28,0.10
ptg017300l,2935913,2936197,284,RepeatMasker,LTR,2935052,2936866,284,1.00
ptg017301l,520226,520532,306,RepeatMasker,LTR,517676,520491,265,0.87
ptg017301l,656502,656805,303,RepeatMasker,LTR,655907,656836,303,1.00
ptg017303l,1043516,1043815,299,RepeatMasker,LTR,1043160,1046726,299,1.00
ptg017305l,524829,525109,280,RepeatMasker,LTR,524182,525492,280,1.00
ptg017313l,150528,150808,280,RepeatMasker,LTR,147787,155235,280,1.00
ptg017323l,907685,907971,286,RepeatMasker,LTR,906824,912680,286,1.00
ptg017325l,3782432,3782768,336,RepeatMasker,LTR,3782715,3783294,54,0.16
ptg017341l,510016,510334,318,RepeatMasker,LTR,509797,510028,12,0.04
ptg017342l,74007,74339,332,RepeatMasker,LTR,74332,75674,8,0.02
ptg017358l,232696,233006,310,RepeatMasker,LTR,232661,232739,43,0.14
ptg017358l,232696,233006,310,RepeatMasker,LTR,232672,232745,49,0.16
ptg017358l,232696,233006,310,RepeatMasker,LTR,229291,232730,34,0.11
ptg017364l,691086,691393,307,RepeatMasker,LTR,690226,695028,307,1.00
ptg017401l,965106,965386,280,RepeatMasker,LTR,964461,965790,280,1.00
ptg017406l,443232,443512,280,RepeatMasker,LTR,442586,443902,280,1.00
ptg017410l,313422,313730,308,RepeatMasker,LTR,313355,313450,28,0.09
ptg017410l,313422,313730,308,RepeatMasker,LTR,313668,314206,63,0.20
ptg017412l,139856,140155,299,RepeatMasker,LTR,139804,140235,299,1.00
ptg017432l,558730,559018,288,RepeatMasker,LTR,558981,559261,38,0.13
ptg017442l,811457,811756,299,RepeatMasker,LTR,811405,811963,299,1.00
ptg017457l,1032626,1032943,317,RepeatMasker,LTR,1032834,1032902,69,0.22
ptg017457l,1032626,1032943,317,RepeatMasker,LTR,1032847,1032973,97,0.31
ptg017459l,1008009,1008293,284,RepeatMasker,LTR,1007672,1008171,162,0.57
ptg017466l,390140,390448,308,RepeatMasker,LTR,390127,390830,308,1.00
ptg017469l,218922,219235,313,RepeatMasker,LTR,218555,219280,313,1.00
ptg017471l,155151,155410,259,RepeatMasker,LTR,150098,159614,259,1.00
ptg017471l,597898,598178,280,RepeatMasker,LTR,595851,599221,280,1.00
ptg017492l,494484,494775,291,RepeatMasker,LTR,494443,494707,223,0.77
ptg017492l,527176,527467,291,RepeatMasker,LTR,527117,527399,223,0.77
ptg017494l,64885,65218,333,RepeatMasker,LTR,64029,65502,333,1.00
ptg017499l,246367,246666,299,RepeatMasker,LTR,246315,246861,299,1.00
ptg017522l,72009,72306,297,RepeatMasker,LTR,71957,72386,297,1.00
ptg017526l,404271,404585,314,RepeatMasker,LTR,404323,404603,263,0.84
ptg017527l,19750,20069,319,RepeatMasker,LTR,19543,21941,319,1.00
ptg017585l,108169,108471,302,RepeatMasker,LTR,106599,108315,146,0.48
ptg017585l,108169,108471,302,RepeatMasker,LTR,106918,108301,132,0.44
ptg017585l,820142,820438,296,RepeatMasker,LTR,819499,821559,296,1.00
ptg017588l,122439,122716,277,RepeatMasker,LTR,122317,122448,9,0.03
ptg017588l,122439,122716,277,RepeatMasker,LTR,122449,126112,268,0.97
ptg017596l,137435,137722,287,RepeatMasker,LTR,137423,138028,287,1.00
ptg017601l,383125,383449,324,RepeatMasker,LTR,378930,384024,324,1.00
ptg017603l,497133,497436,303,RepeatMasker,LTR,496126,497231,98,0.32
ptg017603l,497133,497436,303,RepeatMasker,LTR,497158,497256,99,0.33
ptg017613l,1031454,1031743,289,RepeatMasker,LTR,1031234,1031740,286,0.99
ptg017618l,145230,145537,307,RepeatMasker,LTR,144577,145520,290,0.94
ptg017620l,523086,523380,294,RepeatMasker,LTR,519871,523725,294,1.00
ptg017620l,791859,792143,284,RepeatMasker,LTR,786453,791870,11,0.04
ptg017632l,386907,387203,296,RepeatMasker,LTR,381056,386941,34,0.11
ptg017632l,386907,387203,296,RepeatMasker,LTR,386884,386948,41,0.14
ptg017634l,387922,388217,295,RepeatMasker,LTR,387870,388382,295,1.00
ptg017645l,43775,44071,296,RepeatMasker,LTR,43131,44434,296,1.00
ptg017658l,1046319,1046599,280,RepeatMasker,LTR,1045677,1047789,280,1.00
ptg017665l,191786,192072,286,RepeatMasker,LTR,190917,194064,286,1.00
ptg017665l,1635604,1635913,309,RepeatMasker,LTR,1635581,1636213,309,1.00
ptg017701l,110216,110514,298,RepeatMasker,LTR,110184,110708,298,1.00
ptg017721l,230790,231104,314,RepeatMasker,LTR,231098,231812,7,0.02
ptg017724l,82687,83001,314,RepeatMasker,LTR,79631,82726,39,0.12
ptg017727l,29181,29468,287,RepeatMasker,LTR,28996,29313,132,0.46
ptg017729l,400306,400645,339,RepeatMasker,LTR,400273,400591,285,0.84
ptg017729l,400306,400645,339,RepeatMasker,LTR,400626,400958,20,0.06
ptg017771l,1120010,1120303,293,RepeatMasker,LTR,1119373,1121429,293,1.00
ptg017771l,1908213,1908523,310,RepeatMasker,LTR,1907432,1908515,302,0.97
ptg017771l,1908213,1908523,310,RepeatMasker,LTR,1908200,1908915,310,1.00
ptg017771l,2485774,2486088,314,RepeatMasker,LTR,2485414,2486121,314,1.00
ptg017782l,77949,78236,287,RepeatMasker,LTR,77093,80095,287,1.00
ptg017782l,88750,89037,287,RepeatMasker,LTR,88084,93723,287,1.00
ptg017804l,361142,361448,306,RepeatMasker,LTR,359824,361189,47,0.15
ptg017815l,1226755,1227036,281,RepeatMasker,LTR,1226742,1228077,281,1.00
ptg017816l,268374,268683,309,RepeatMasker,LTR,268553,268769,131,0.42
ptg017816l,290313,290630,317,RepeatMasker,LTR,290264,290660,317,1.00
ptg017828l,548063,548372,309,RepeatMasker,LTR,548086,548155,70,0.23
ptg017828l,1109157,1109470,313,RepeatMasker,LTR,1109164,1110033,307,0.98
ptg017848l,280831,281110,279,RepeatMasker,LTR,279335,281541,279,1.00
ptg017848l,280831,281110,279,RepeatMasker,LTR,279631,282135,279,1.00
ptg017848l,280831,281110,279,RepeatMasker,LTR,280136,282136,279,1.00
ptg017865l,195675,195958,283,RepeatMasker,LTR,195053,197686,283,1.00
ptg017870l,888327,888608,281,RepeatMasker,LTR,888314,888990,281,1.00
ptg017872l,785814,786140,326,RepeatMasker,LTR,785801,787174,326,1.00
ptg017879l,1354523,1354839,316,RepeatMasker,LTR,1354435,1355301,316,1.00
ptg017879l,1367423,1367739,316,RepeatMasker,LTR,1367335,1368201,316,1.00
ptg017883l,814888,815168,280,RepeatMasker,LTR,814081,815551,280,1.00
ptg017889l,5203393,5203718,325,RepeatMasker,LTR,5203614,5204605,105,0.32
ptg017898l,1003352,1003651,299,RepeatMasker,LTR,1003300,1003859,299,1.00
ptg017898l,5984731,5985032,301,RepeatMasker,LTR,5984534,5985597,301,1.00
ptg017908l,361314,361610,296,RepeatMasker,LTR,360802,362330,296,1.00
ptg017908l,557871,558166,295,RepeatMasker,LTR,557819,558359,295,1.00
ptg017911l,842533,842818,285,RepeatMasker,LTR,842271,844194,285,1.00
ptg017912l,505738,506035,297,RepeatMasker,LTR,505969,506046,67,0.23
ptg017917l,25974,26267,293,RepeatMasker,LTR,25922,26445,293,1.00
ptg017926l,122644,122954,310,RepeatMasker,LTR,122392,124907,310,1.00
ptg017931l,442557,442837,280,RepeatMasker,LTR,441765,443894,280,1.00
ptg017931l,950121,950401,280,RepeatMasker,LTR,949484,950796,280,1.00
ptg017931l,1622094,1622374,280,RepeatMasker,LTR,1622061,1623511,280,1.00
ptg017931l,1641774,1642072,298,RepeatMasker,LTR,1641741,1642442,298,1.00
ptg017935l,561688,561969,281,RepeatMasker,LTR,561044,562360,281,1.00
ptg017935l,569216,569510,294,RepeatMasker,LTR,569184,569886,294,1.00
ptg017936l,417677,417957,280,RepeatMasker,LTR,417040,418037,280,1.00
ptg017939l,2448743,2449040,297,RepeatMasker,LTR,2448730,2450072,297,1.00
ptg017948l,564383,564680,297,RepeatMasker,LTR,564331,564888,297,1.00
ptg017959l,27774,28073,299,RepeatMasker,LTR,27722,28153,299,1.00
ptg017969l,66271,66552,281,RepeatMasker,LTR,65471,67599,281,1.00
ptg017977l,258842,259134,292,RepeatMasker,LTR,259033,259073,41,0.14
ptg017985l,3381,3661,280,RepeatMasker,LTR,2579,4043,280,1.00
ptg017985l,229451,229732,281,RepeatMasker,LTR,228660,230112,281,1.00
ptg018010l,167522,167807,285,RepeatMasker,LTR,167155,167629,107,0.38
ptg018066l,174137,174425,288,RepeatMasker,LTR,174131,174360,223,0.77
ptg018066l,174137,174425,288,RepeatMasker,LTR,174234,174923,192,0.67
ptg018091l,1354860,1355152,292,RepeatMasker,LTR,1352028,1355494,292,1.00
ptg018109l,279467,279769,302,RepeatMasker,LTR,279734,283459,36,0.12
ptg018115l,288624,288935,311,RepeatMasker,LTR,288612,289292,311,1.00
ptg018122l,1004123,1004419,296,RepeatMasker,LTR,999327,1004302,179,0.60
ptg018153l,3312804,3313117,313,RepeatMasker,LTR,3312814,3313704,304,0.97
ptg018153l,3841447,3841735,288,RepeatMasker,LTR,3841388,3841767,288,1.00
ptg018185l,694145,694424,279,RepeatMasker,LTR,693501,694822,279,1.00
ptg018187l,803811,804121,310,RepeatMasker,LTR,803551,803934,123,0.40
ptg018188l,607384,607684,300,RepeatMasker,LTR,607332,607899,300,1.00
ptg018189l,18800,19099,299,RepeatMasker,LTR,18766,19140,299,1.00
ptg018199l,313157,313458,301,RepeatMasker,LTR,313105,313680,301,1.00
ptg018201l,452025,452322,297,RepeatMasker,LTR,451974,452496,297,1.00
ptg018243l,1471787,1472068,281,RepeatMasker,LTR,1471775,1472456,281,1.00
ptg018245l,833925,834216,291,RepeatMasker,LTR,833280,834595,291,1.00
ptg018247l,46086,46366,280,RepeatMasker,LTR,45304,47414,280,1.00
ptg018257l,857748,858029,281,RepeatMasker,LTR,857105,858409,281,1.00
ptg018266l,350022,350314,292,RepeatMasker,LTR,349900,350083,61,0.21
ptg018277l,287523,287822,299,RepeatMasker,LTR,287449,288490,299,1.00
ptg018285l,344164,344493,329,RepeatMasker,LTR,344465,346277,29,0.09
ptg018319l,284266,284568,302,RepeatMasker,LTR,283462,284956,302,1.00
ptg018324l,385293,385603,310,RepeatMasker,LTR,384791,386385,310,1.00
ptg018324l,1545052,1545333,281,RepeatMasker,LTR,1544269,1546356,281,1.00
ptg018333l,519279,519527,248,RepeatMasker,LTR,514224,523730,248,1.00
ptg018333l,595002,595283,281,RepeatMasker,LTR,594969,595665,281,1.00
ptg018350l,200872,201174,302,RepeatMasker,LTR,200149,201055,183,0.61
ptg018356l,957441,957734,293,RepeatMasker,LTR,957389,957732,291,0.99
ptg018362l,345409,345728,319,RepeatMasker,LTR,345159,345605,196,0.61
ptg018367l,44139,44437,298,RepeatMasker,LTR,44087,44644,298,1.00
ptg018380l,233443,233753,310,RepeatMasker,LTR,233306,233465,22,0.07
ptg018389l,978300,978599,299,RepeatMasker,LTR,977663,979648,299,1.00
ptg018398l,648291,648628,337,RepeatMasker,LTR,648320,648380,61,0.18
ptg018411l,130611,130906,295,RepeatMasker,LTR,130559,131082,295,1.00
ptg018413l,2071,2384,313,RepeatMasker,LTR,2276,2333,58,0.19
ptg018416l,1452637,1452940,303,RepeatMasker,LTR,1452717,1455470,224,0.74
ptg018418l,260211,260492,281,RepeatMasker,LTR,259410,260795,281,1.00
ptg018426l,147112,147440,328,RepeatMasker,LTR,147060,147614,328,1.00
ptg018431l,837751,838043,292,RepeatMasker,LTR,837779,838795,265,0.91
ptg018436l,1117098,1117413,315,RepeatMasker,LTR,1117261,1117331,71,0.23
ptg018436l,1229277,1229582,305,RepeatMasker,LTR,1228779,1229963,305,1.00
ptg018438l,185133,185435,302,RepeatMasker,LTR,185121,185805,302,1.00
ptg018438l,416914,417210,296,RepeatMasker,LTR,417168,418096,43,0.15
ptg018442l,383994,384291,297,RepeatMasker,LTR,383199,384312,297,1.00
ptg018445l,912632,912914,282,RepeatMasker,LTR,912599,913315,282,1.00
ptg018458l,251221,251518,297,RepeatMasker,LTR,251195,251881,297,1.00
ptg018461l,726526,726813,287,RepeatMasker,LTR,726164,727195,287,1.00
ptg018478l,485065,485375,310,RepeatMasker,LTR,484142,485371,306,0.99
ptg018481l,177280,177582,302,RepeatMasker,LTR,175845,178335,302,1.00
ptg018520l,869746,870054,308,RepeatMasker,LTR,869172,869997,251,0.81
ptg018522l,12970,13291,321,RepeatMasker,LTR,13278,15365,14,0.04
ptg018525l,716170,716497,327,RepeatMasker,LTR,716436,716578,62,0.19
ptg018527l,205249,205548,299,RepeatMasker,LTR,205197,205726,299,1.00
ptg018527l,375126,375425,299,RepeatMasker,LTR,375074,375590,299,1.00
ptg018527l,426637,426921,284,RepeatMasker,LTR,426585,427099,284,1.00
ptg018527l,497746,498046,300,RepeatMasker,LTR,497694,498255,300,1.00
ptg018527l,1077270,1077574,304,RepeatMasker,LTR,1077026,1077325,55,0.18
ptg018527l,1077270,1077574,304,RepeatMasker,LTR,1077555,1079615,20,0.07
ptg018565l,806235,806512,277,RepeatMasker,LTR,806489,806533,24,0.09
ptg018568l,160407,160708,301,RepeatMasker,LTR,159624,161743,301,1.00
ptg018575l,7032,7318,286,RepeatMasker,LTR,6193,11966,286,1.00
ptg018578l,1252170,1252451,281,RepeatMasker,LTR,1251367,1252825,281,1.00
ptg018580l,1766780,1767062,282,RepeatMasker,LTR,1766004,1768104,282,1.00
ptg018583l,616271,616548,277,RepeatMasker,LTR,615547,617157,277,1.00
ptg018590l,931511,931852,341,RepeatMasker,LTR,930877,931782,271,0.79
ptg018595l,633069,633350,281,RepeatMasker,LTR,632264,633655,281,1.00
ptg018602l,1288682,1288986,304,RepeatMasker,LTR,1288380,1288706,24,0.08
ptg018607l,71353,71634,281,RepeatMasker,LTR,71320,72014,281,1.00
ptg018623l,839251,839575,324,RepeatMasker,LTR,838447,839405,154,0.48
ptg018625l,235804,236084,280,RepeatMasker,LTR,235021,237132,280,1.00
ptg018648l,1033832,1034125,293,RepeatMasker,LTR,1033798,1034148,293,1.00
ptg018663l,756710,756994,284,RepeatMasker,LTR,756460,756775,65,0.23
ptg018669l,516060,516336,276,RepeatMasker,LTR,515838,516411,276,1.00
ptg018669l,516060,516336,276,RepeatMasker,LTR,516067,516502,270,0.98
ptg018672l,502970,503257,287,RepeatMasker,LTR,503149,503734,109,0.38
ptg018676l,140359,140657,298,RepeatMasker,LTR,140307,140866,298,1.00
ptg018676l,1764213,1764515,302,RepeatMasker,LTR,1762962,1764345,132,0.44
ptg018676l,1764213,1764515,302,RepeatMasker,LTR,1764003,1765271,302,1.00
ptg018680l,566225,566510,285,RepeatMasker,LTR,565784,567153,285,1.00
ptg018689l,77301,77603,302,RepeatMasker,LTR,76051,77430,129,0.43
ptg018689l,77301,77603,302,RepeatMasker,LTR,76959,78327,302,1.00
ptg018689l,77307,77603,296,RepeatMasker,LTR,76051,77430,123,0.42
ptg018689l,77307,77603,296,RepeatMasker,LTR,76959,78327,296,1.00
ptg018689l,102921,103202,281,RepeatMasker,LTR,102284,104344,281,1.00
ptg018691l,729967,730247,280,RepeatMasker,LTR,729954,730629,280,1.00
ptg018692l,294032,294334,302,RepeatMasker,LTR,294020,294621,302,1.00
ptg018692l,294032,294334,302,RepeatMasker,LTR,294021,294694,302,1.00
ptg018705l,275840,276141,301,RepeatMasker,LTR,275788,276368,301,1.00
ptg018711l,474475,474763,288,RepeatMasker,LTR,474719,475032,45,0.16
ptg018726l,183036,183348,312,RepeatMasker,LTR,183088,183297,210,0.67
ptg018769l,173388,173668,280,RepeatMasker,LTR,172753,174050,280,1.00
ptg018806l,858592,858881,289,RepeatMasker,LTR,857957,859254,289,1.00
ptg018819l,51883,52164,281,RepeatMasker,LTR,51238,52544,281,1.00
ptg018819l,59022,59304,282,RepeatMasker,LTR,58221,59686,282,1.00
ptg018821l,596124,596439,315,RepeatMasker,LTR,595873,598793,315,1.00
ptg018845l,90,373,283,RepeatMasker,LTR,350,398,24,0.08
ptg018850l,557865,558159,294,RepeatMasker,LTR,555093,561215,294,1.00
ptg018851l,687076,687383,307,RepeatMasker,LTR,686469,689479,307,1.00
ptg018853l,1742111,1742392,281,RepeatMasker,LTR,1741466,1742774,281,1.00
ptg018866l,168643,168935,292,RepeatMasker,LTR,166668,168693,50,0.17
ptg018879l,137804,138084,280,RepeatMasker,LTR,137792,138487,280,1.00
ptg018889l,21228,21508,280,RepeatMasker,LTR,20581,21890,280,1.00
ptg018889l,619360,619659,299,RepeatMasker,LTR,618714,620024,299,1.00
ptg018910l,384057,384337,280,RepeatMasker,LTR,383668,384718,280,1.00
ptg018919l,119660,119965,305,RepeatMasker,LTR,119948,120112,18,0.06
ptg018946l,589905,590185,280,RepeatMasker,LTR,589259,590567,280,1.00
ptg018949l,182298,182601,303,RepeatMasker,LTR,181705,182625,303,1.00
ptg018964l,163832,164138,306,RepeatMasker,LTR,162677,166197,306,1.00
ptg018995l,157462,157776,314,RepeatMasker,LTR,154258,157489,27,0.09
ptg018995l,157462,157776,314,RepeatMasker,LTR,157689,158252,88,0.28
ptg019008l,279509,279814,305,RepeatMasker,LTR,279305,279603,94,0.31
ptg019013l,279259,279539,280,RepeatMasker,LTR,279244,279915,280,1.00
ptg019037l,163139,163438,299,RepeatMasker,LTR,163092,163479,299,1.00
ptg019042l,36837,37136,299,RepeatMasker,LTR,36785,37156,299,1.00
ptg019042l,781784,782085,301,RepeatMasker,LTR,781732,782263,301,1.00
ptg019043l,140605,140905,300,RepeatMasker,LTR,140553,141113,300,1.00
ptg019050l,842329,842628,299,RepeatMasker,LTR,842277,842793,299,1.00
ptg019066l,251257,251552,295,RepeatMasker,LTR,249061,251296,39,0.13
ptg019125l,112986,113288,302,RepeatMasker,LTR,113160,113264,105,0.35
ptg019136l,961890,962216,326,RepeatMasker,LTR,961154,962523,326,1.00
ptg019138l,495527,495846,319,RepeatMasker,LTR,495065,495576,49,0.15
ptg019139l,53063,53362,299,RepeatMasker,LTR,53016,53570,299,1.00
ptg019142l,271927,272217,290,RepeatMasker,LTR,268883,276745,290,1.00
ptg019150l,959502,959802,300,RepeatMasker,LTR,958722,960130,300,1.00
ptg019157l,13765,14067,302,RepeatMasker,LTR,13713,14245,302,1.00
ptg019157l,357320,357619,299,RepeatMasker,LTR,357268,357797,299,1.00
ptg019161l,280890,281170,280,RepeatMasker,LTR,280254,282229,280,1.00
ptg019231l,565191,565490,299,RepeatMasker,LTR,565139,565570,299,1.00
ptg019243l,564033,564346,313,RepeatMasker,LTR,563863,564391,313,1.00
ptg019251l,247038,247337,299,RepeatMasker,LTR,246986,247545,299,1.00
ptg019251l,252708,253006,298,RepeatMasker,LTR,252656,253212,298,1.00
ptg019255l,220763,221044,281,RepeatMasker,LTR,220175,221426,281,1.00
ptg019263l,1332780,1333068,288,RepeatMasker,LTR,1332037,1333160,288,1.00
ptg019271l,829857,830153,296,RepeatMasker,LTR,829850,829949,92,0.31
ptg019272l,193308,193615,307,RepeatMasker,LTR,192029,194645,307,1.00
ptg019274l,383842,384166,324,RepeatMasker,LTR,383319,386276,324,1.00
ptg019274l,537794,538074,280,RepeatMasker,LTR,537781,538541,280,1.00
ptg019274l,545353,545648,295,RepeatMasker,LTR,545340,546680,295,1.00
ptg019283l,801574,801899,325,RepeatMasker,LTR,801578,801868,291,0.90
ptg019283l,801574,801899,325,RepeatMasker,LTR,801866,802792,34,0.10
